                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0902,                 3.4134,                  1.594,                0.66473,                0.62836,                0.71027,                0.47266,                 1.1811,                 1.6828,                 1.1061,             0.00018342,             0.00018342,             0.00018342
                      2,                 1.2431,                 1.2794,                 1.0955,                0.85971,                 0.8724,                0.91513,                0.66739,                 1.0014,                   1.01,                 1.0252,             0.00036511,             0.00036511,             0.00036511
                      3,                 1.0483,                0.91652,                  1.015,                0.94544,                  0.946,                0.96989,                0.74979,                0.84638,                0.67973,                0.95247,             0.00054312,             0.00054312,             0.00054312
                      4,                0.96915,                0.80353,                0.97455,                0.93543,                 0.9394,                0.96513,                0.75244,                0.82286,                0.69081,                0.91696,             0.00053949,             0.00053949,             0.00053949
                      5,                 0.9314,                0.74893,                0.95703,                0.96728,                0.96474,                0.97952,                 0.7733,                0.77431,                0.58411,                0.88778,             0.00053949,             0.00053949,             0.00053949
                      6,                0.89273,                0.70216,                0.93725,                0.96658,                0.96743,                0.97832,                0.77878,                0.75627,                0.55939,                0.87961,             0.00053398,             0.00053398,             0.00053398
                      7,                0.85826,                0.66558,                0.92424,                0.97449,                0.96729,                0.98295,                0.78528,                0.74066,                0.52113,                0.86428,             0.00052848,             0.00052848,             0.00052848
                      8,                0.85243,                0.65234,                0.91619,                0.97946,                0.97149,                0.98504,                0.77868,                0.75469,                0.50639,                0.87081,             0.00052297,             0.00052297,             0.00052297
                      9,                0.83634,                 0.6291,                 0.9032,                0.98349,                 0.9751,                0.98759,                0.78819,                0.73932,                0.48825,                0.85779,             0.00051747,             0.00051747,             0.00051747
                     10,                0.82264,                0.61058,                0.90025,                0.98062,                0.97639,                0.98611,                0.79898,                0.70428,                0.48348,                0.84431,             0.00051196,             0.00051196,             0.00051196
                     11,                0.81864,                  0.607,                0.89959,                0.96942,                0.97619,                0.98476,                0.78778,                0.73638,                0.50147,                0.84606,             0.00050646,             0.00050646,             0.00050646
                     12,                0.80524,                0.59123,                0.89293,                0.98476,                0.97983,                0.98886,                0.80503,                 0.7075,                0.46598,                0.83627,             0.00050096,             0.00050096,             0.00050096
                     13,                 0.8104,                0.59118,                0.88989,                0.97934,                0.97597,                0.98806,                0.80417,                0.70866,                0.46262,                0.83665,             0.00049545,             0.00049545,             0.00049545
                     14,                0.79716,                0.57566,                0.88713,                0.98165,                0.98097,                  0.989,                0.81211,                0.69967,                0.45716,                0.83716,             0.00048995,             0.00048995,             0.00048995
                     15,                0.78045,                0.55968,                 0.8835,                0.98327,                0.96975,                0.98714,                0.80597,                0.70662,                0.45842,                0.83734,             0.00048444,             0.00048444,             0.00048444
                     16,                0.77226,                0.55145,                0.87554,                 0.9831,                0.97347,                0.98781,                0.81295,                0.67954,                0.45336,                0.83049,             0.00047894,             0.00047894,             0.00047894
                     17,                0.77189,                0.55102,                0.87699,                0.97302,                0.97735,                0.98701,                 0.8021,                 0.6926,                0.44741,                0.82317,             0.00047343,             0.00047343,             0.00047343
                     18,                0.76527,                0.53794,                0.87367,                 0.9899,                0.97873,                0.99111,                0.81464,                0.68695,                0.43641,                0.82527,             0.00046793,             0.00046793,             0.00046793
