                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4623,                 1.7393,                  1.298,                0.91426,                0.93597,                0.95228,                 0.7398,                0.80159,                0.57383,                0.93423,             0.00018342,             0.00018342,             0.00018342
                      2,                0.86949,                0.61474,                0.95238,                0.95597,                0.95517,                 0.9673,                0.76252,                0.76126,                0.46931,                 0.9016,             0.00036511,             0.00036511,             0.00036511
                      3,                0.81549,                 0.5459,                0.92071,                0.97161,                  0.971,                0.98321,                0.78969,                0.73329,                0.44952,                0.89834,             0.00054312,             0.00054312,             0.00054312
                      4,                0.80864,                0.52321,                0.90996,                0.97458,                0.96227,                0.98033,                0.78194,                0.72198,                0.43175,                0.87461,             0.00053949,             0.00053949,             0.00053949
                      5,                0.77855,                0.49834,                0.90089,                0.97148,                0.96692,                0.98161,                0.79991,                0.68556,                0.40881,                0.87219,             0.00053949,             0.00053949,             0.00053949
                      6,                0.75452,                0.46871,                0.88274,                 0.9677,                0.96758,                0.97903,                0.79345,                0.71647,                0.41375,                0.86272,             0.00053398,             0.00053398,             0.00053398
                      7,                0.74906,                0.46553,                0.87998,                0.97632,                0.97554,                0.98651,                 0.8038,                0.70573,                0.39692,                0.85223,             0.00052848,             0.00052848,             0.00052848
                      8,                0.73762,                0.45135,                0.87144,                0.97336,                0.96866,                0.98263,                0.79474,                0.69929,                0.38869,                0.84327,             0.00052297,             0.00052297,             0.00052297
                      9,                0.72206,                 0.4397,                0.86195,                0.98161,                0.97432,                0.98903,                0.81824,                0.67154,                 0.3728,                0.83316,             0.00051747,             0.00051747,             0.00051747
                     10,                0.71976,                0.43052,                0.86387,                0.97996,                0.97433,                0.98639,                0.82539,                0.64242,                0.35472,                 0.8215,             0.00051196,             0.00051196,             0.00051196
                     11,                0.71663,                0.43284,                0.86086,                0.97883,                0.97836,                0.98901,                0.82566,                0.65117,                 0.3675,                0.82079,             0.00050646,             0.00050646,             0.00050646
                     12,                 0.7083,                0.42403,                0.85708,                0.98439,                0.97694,                0.98867,                0.83298,                0.63928,                0.35544,                0.81813,             0.00050096,             0.00050096,             0.00050096
                     13,                0.71922,                0.43186,                 0.8559,                0.98007,                0.97149,                0.98651,                0.82743,                0.65099,                0.35805,                0.81816,             0.00049545,             0.00049545,             0.00049545
                     14,                0.70278,                 0.4185,                0.85367,                0.97852,                0.97429,                0.98754,                0.82867,                 0.6437,                0.35808,                0.81352,             0.00048995,             0.00048995,             0.00048995
                     15,                0.70017,                0.41072,                0.85416,                0.97875,                0.97317,                0.98717,                 0.8226,                0.66585,                0.36027,                0.82126,             0.00048444,             0.00048444,             0.00048444
                     16,                 0.6974,                0.40693,                0.84887,                0.98918,                0.97691,                0.99087,                0.83648,                 0.6406,                0.34099,                0.81985,             0.00047894,             0.00047894,             0.00047894
                     17,                0.69102,                0.40342,                0.85134,                0.98139,                0.97429,                 0.9883,                0.83245,                0.64114,                0.33911,                0.81643,             0.00047343,             0.00047343,             0.00047343
                     18,                0.68985,                0.40332,                0.84984,                0.98714,                0.97843,                0.99046,                0.83529,                0.64602,                0.35955,                0.81632,             0.00046793,             0.00046793,             0.00046793
                     19,                0.67925,                0.39565,                0.84264,                0.97941,                0.97665,                0.98866,                0.82673,                0.66851,                0.34474,                0.81833,             0.00046243,             0.00046243,             0.00046243
                     20,                 0.6737,                0.38837,                0.84121,                0.98386,                0.97471,                0.98813,                0.83601,                0.63479,                0.34983,                0.80401,             0.00045692,             0.00045692,             0.00045692
                     21,                0.67561,                0.39322,                0.84238,                0.97984,                0.96937,                0.98648,                0.82547,                0.65855,                0.35819,                0.81246,             0.00045142,             0.00045142,             0.00045142
                     22,                0.68349,                0.39379,                0.84096,                0.98199,                0.98283,                0.99148,                0.84828,                0.61069,                0.32372,                0.80042,             0.00044591,             0.00044591,             0.00044591
                     23,                0.66549,                0.37668,                0.83431,                0.98205,                0.97567,                0.98875,                0.83274,                0.64405,                0.33236,                0.80764,             0.00044041,             0.00044041,             0.00044041
