                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8133,                 2.3783,                  1.478,                 0.9029,                0.89974,                0.94498,                0.70624,                0.90384,                 0.7371,                0.97975,             0.00018342,             0.00018342,             0.00018342
                      2,                 0.9781,                0.76138,                 1.0017,                0.96591,                0.93731,                0.96756,                0.75808,                0.81197,                0.55126,                0.92698,             0.00036511,             0.00036511,             0.00036511
                      3,                0.88312,                0.63036,                0.95781,                0.97284,                0.96137,                0.98017,                0.78275,                0.74593,                0.49672,                0.90297,             0.00054312,             0.00054312,             0.00054312
                      4,                0.84257,                 0.5808,                0.93359,                0.97538,                0.96612,                0.98369,                0.78363,                0.73996,                0.46262,                0.89459,             0.00053949,             0.00053949,             0.00053949
                      5,                0.81401,                0.54632,                0.91825,                   0.98,                0.97535,                0.98607,                0.79578,                 0.7206,                0.45127,                0.85504,             0.00053949,             0.00053949,             0.00053949
                      6,                0.79803,                0.52698,                0.90515,                0.96535,                0.96833,                0.97797,                0.78566,                0.73663,                0.47307,                0.86383,             0.00053398,             0.00053398,             0.00053398
                      7,                 0.7772,                0.50699,                0.89685,                0.97425,                0.97616,                0.98445,                0.80285,                0.70147,                0.42778,                0.84879,             0.00052848,             0.00052848,             0.00052848
                      8,                0.76935,                 0.4952,                0.89017,                0.97772,                0.96648,                0.98214,                 0.7947,                0.71434,                0.42632,                0.85063,             0.00052297,             0.00052297,             0.00052297
                      9,                0.75652,                0.48703,                0.87692,                0.98322,                 0.9704,                0.98825,                0.80817,                0.69939,                0.42657,                0.83214,             0.00051747,             0.00051747,             0.00051747
                     10,                0.75355,                0.47691,                0.87801,                0.98079,                0.97226,                0.98701,                0.82323,                0.65421,                0.40394,                0.82709,             0.00051196,             0.00051196,             0.00051196
                     11,                0.74923,                0.47911,                0.87571,                0.97331,                0.97875,                0.98747,                0.81661,                0.66672,                0.40187,                0.82274,             0.00050646,             0.00050646,             0.00050646
                     12,                0.73275,                0.46429,                0.87078,                0.98211,                0.97654,                0.98821,                0.81762,                0.67948,                0.39907,                0.83125,             0.00050096,             0.00050096,             0.00050096
                     13,                0.74665,                0.46942,                0.87016,                0.98368,                0.97308,                0.98721,                0.82272,                0.67977,                0.39337,                 0.8299,             0.00049545,             0.00049545,             0.00049545
                     14,                0.72709,                0.45746,                0.86545,                0.96704,                0.96945,                0.98385,                 0.8171,                0.67683,                 0.4048,                0.82123,             0.00048995,             0.00048995,             0.00048995
                     15,                0.72083,                0.45358,                0.86314,                0.98204,                0.97596,                0.98914,                0.82509,                0.65619,                0.38765,                0.81579,             0.00048444,             0.00048444,             0.00048444
                     16,                0.71701,                0.44443,                0.85834,                0.98327,                0.97748,                0.98993,                0.83005,                0.65673,                0.38063,                0.83078,             0.00047894,             0.00047894,             0.00047894
                     17,                0.71424,                0.44211,                0.85841,                0.97408,                0.97265,                 0.9861,                0.82241,                0.65645,                0.38065,                0.81275,             0.00047343,             0.00047343,             0.00047343
                     18,                0.71259,                0.43756,                0.85776,                0.98757,                0.98133,                0.99099,                0.83748,                  0.644,                0.37275,                0.81331,             0.00046793,             0.00046793,             0.00046793
                     19,                0.69977,                0.42729,                0.85113,                0.97824,                0.97335,                 0.9873,                0.81198,                0.69038,                0.38157,                0.82285,             0.00046243,             0.00046243,             0.00046243
                     20,                0.70046,                 0.4277,                0.84923,                0.98565,                0.97334,                0.98854,                 0.8309,                0.64298,                0.36794,                0.80879,             0.00045692,             0.00045692,             0.00045692
                     21,                0.69762,                 0.4261,                0.85115,                0.98344,                0.97227,                0.98779,                0.82744,                0.66536,                0.38251,                0.81572,             0.00045142,             0.00045142,             0.00045142
                     22,                0.69993,                0.42341,                0.85061,                0.98097,                0.97745,                0.98838,                0.83608,                 0.6501,                0.36435,                0.80463,             0.00044591,             0.00044591,             0.00044591
                     23,                0.69118,                0.41239,                 0.8447,                 0.9841,                0.97474,                0.98863,                0.83031,                0.65728,                0.36311,                0.80962,             0.00044041,             0.00044041,             0.00044041
                     24,                0.69422,                0.41552,                0.84771,                0.98192,                0.97361,                0.98803,                0.83053,                0.64869,                0.36532,                0.80809,              0.0004349,              0.0004349,              0.0004349
                     25,                0.68147,                0.41417,                0.84402,                0.98327,                0.98122,                0.99102,                0.84287,                0.62709,                0.35008,                0.80667,              0.0004294,              0.0004294,              0.0004294
                     26,                0.68354,                0.40661,                0.84433,                0.98422,                0.97605,                 0.9886,                0.83432,                0.65441,                0.35417,                0.81036,             0.00042389,             0.00042389,             0.00042389
                     27,                0.67819,                0.40754,                0.84634,                0.98324,                0.97706,                0.98905,                 0.8304,                0.65196,                0.36587,                  0.812,             0.00041839,             0.00041839,             0.00041839
                     28,                0.68266,                0.40966,                0.84429,                0.98368,                0.97619,                0.98861,                  0.841,                0.63478,                0.35855,                0.80528,             0.00041289,             0.00041289,             0.00041289
                     29,                0.67647,                0.40351,                0.84217,                0.98769,                0.97401,                0.98911,                0.84011,                0.62939,                0.35016,                0.80529,             0.00040738,             0.00040738,             0.00040738
                     30,                0.68476,                0.40775,                 0.8418,                0.98317,                 0.9835,                0.99133,                0.83854,                0.63513,                0.34857,                0.80585,             0.00040188,             0.00040188,             0.00040188
                     31,                0.67337,                0.40142,                0.83784,                0.98595,                0.97178,                0.98818,                0.83326,                0.64253,                0.35131,                0.80446,             0.00039637,             0.00039637,             0.00039637
                     32,                0.67503,                0.40178,                0.84015,                0.98359,                0.97258,                0.98596,                0.82996,                0.65291,                0.36326,                0.80146,             0.00039087,             0.00039087,             0.00039087
                     33,                0.67875,                0.40195,                0.84205,                0.98611,                0.98229,                0.99068,                0.84573,                0.62393,                0.33863,                0.79907,             0.00038536,             0.00038536,             0.00038536
                     34,                0.66287,                0.39259,                0.83769,                 0.9909,                0.96982,                0.98785,                0.83005,                0.65146,                0.35814,                0.80993,             0.00037986,             0.00037986,             0.00037986
                     35,                0.67489,                0.39879,                0.83905,                0.98575,                0.97694,                0.98891,                0.84438,                0.62374,                0.34631,                0.80019,             0.00037435,             0.00037435,             0.00037435
                     36,                0.66308,                0.38757,                0.83814,                0.99077,                0.97288,                0.98861,                0.84691,                0.62696,                  0.344,                0.80091,             0.00036885,             0.00036885,             0.00036885
                     37,                0.65958,                 0.3898,                0.83746,                0.98734,                0.97405,                0.98836,                0.83732,                0.63655,                0.34991,                0.80015,             0.00036335,             0.00036335,             0.00036335
                     38,                0.67072,                0.39356,                0.83499,                0.98223,                0.97766,                  0.989,                0.83792,                0.63775,                0.34753,                0.80304,             0.00035784,             0.00035784,             0.00035784
                     39,                0.65819,                0.38638,                0.83586,                0.98454,                0.97711,                0.98975,                0.84451,                0.62313,                0.34059,                0.80005,             0.00035234,             0.00035234,             0.00035234
                     40,                0.66207,                0.38729,                0.83406,                0.98861,                0.98269,                0.99158,                0.84816,                0.61723,                0.33718,                0.79886,             0.00034683,             0.00034683,             0.00034683
                     41,                0.65709,                0.38209,                0.83191,                0.98688,                0.97269,                0.98799,                0.84093,                0.62994,                0.33533,                0.79961,             0.00034133,             0.00034133,             0.00034133
                     42,                0.65887,                0.38171,                 0.8347,                0.98562,                0.97154,                0.98821,                0.83884,                0.62762,                0.33845,                0.79931,             0.00033582,             0.00033582,             0.00033582
                     43,                0.64878,                0.37732,                0.83405,                0.98984,                0.97514,                0.98979,                0.84985,                 0.6106,                0.33338,                0.79632,             0.00033032,             0.00033032,             0.00033032
                     44,                0.65666,                0.37891,                0.83465,                0.99051,                0.97316,                0.98864,                0.84491,                0.62872,                0.33569,                0.79806,             0.00032482,             0.00032482,             0.00032482
                     45,                 0.6471,                0.37541,                0.83025,                0.99063,                0.97417,                0.98967,                0.84947,                0.61757,                  0.332,                0.79742,             0.00031931,             0.00031931,             0.00031931
                     46,                0.65251,                0.37657,                 0.8317,                0.99007,                0.97637,                 0.9896,                0.84867,                0.61509,                0.33142,                0.79776,             0.00031381,             0.00031381,             0.00031381
                     47,                0.65627,                0.37737,                0.83148,                0.99093,                0.97743,                0.99046,                0.84968,                 0.6121,                0.32923,                0.79899,              0.0003083,              0.0003083,              0.0003083
                     48,                0.64363,                0.37449,                0.83107,                0.99017,                0.98054,                0.99159,                0.85134,                0.60579,                0.32299,                0.79773,              0.0003028,              0.0003028,              0.0003028
                     49,                0.64338,                0.37285,                0.82825,                0.99038,                 0.9735,                0.98933,                0.84691,                0.61326,                0.32824,                 0.7985,             0.00029729,             0.00029729,             0.00029729
                     50,                0.64149,                0.37209,                0.83042,                0.98834,                0.97684,                0.98979,                0.84892,                0.61175,                0.32721,                0.79578,             0.00029179,             0.00029179,             0.00029179
                     51,                0.64746,                0.36943,                0.82895,                0.98876,                0.97844,                0.99027,                0.84806,                0.61992,                0.32362,                0.80035,             0.00028628,             0.00028628,             0.00028628
                     52,                 0.6399,                0.36537,                0.82662,                0.98594,                0.97772,                0.98991,                0.84825,                0.61776,                0.32734,                0.79565,             0.00028078,             0.00028078,             0.00028078
                     53,                0.63464,                0.36318,                0.82551,                0.98959,                 0.9813,                0.99136,                0.85515,                  0.603,                0.32087,                0.79218,             0.00027528,             0.00027528,             0.00027528
                     54,                0.62762,                0.36037,                0.82415,                0.99047,                0.97675,                0.99046,                0.84866,                0.61263,                 0.3192,                0.79562,             0.00026977,             0.00026977,             0.00026977
                     55,                0.63734,                0.36458,                0.82634,                0.98736,                  0.976,                0.98918,                0.84582,                0.62048,                0.32401,                0.79556,             0.00026427,             0.00026427,             0.00026427
                     56,                0.63823,                0.36395,                0.82675,                0.98776,                0.97753,                0.99031,                0.84742,                0.61679,                0.32478,                0.79359,             0.00025876,             0.00025876,             0.00025876
                     57,                 0.6356,                0.36437,                0.82661,                 0.9906,                0.97574,                0.98974,                0.85263,                0.60388,                0.31338,                0.79411,             0.00025326,             0.00025326,             0.00025326
                     58,                0.63801,                0.36317,                0.82523,                0.98974,                0.97865,                0.99047,                0.85314,                0.61528,                0.32094,                0.79878,             0.00024775,             0.00024775,             0.00024775
                     59,                0.63108,                0.35908,                0.82688,                0.98592,                0.97631,                0.98969,                0.85452,                0.59865,                0.31359,                0.79287,             0.00024225,             0.00024225,             0.00024225
                     60,                0.62818,                 0.3579,                0.82408,                 0.9894,                0.98103,                0.99081,                0.85156,                0.60928,                0.31381,                0.79313,             0.00023674,             0.00023674,             0.00023674
                     61,                0.62405,                0.35555,                0.82361,                0.98977,                0.97566,                0.98984,                0.85326,                0.60595,                0.31686,                0.79376,             0.00023124,             0.00023124,             0.00023124
                     62,                0.62972,                0.35666,                0.82696,                0.98934,                0.97529,                0.98973,                0.85211,                0.60944,                0.31733,                0.79269,             0.00022574,             0.00022574,             0.00022574
                     63,                0.62878,                0.35427,                0.82472,                0.98981,                0.97551,                0.98961,                0.85197,                0.60458,                0.31851,                0.79342,             0.00022023,             0.00022023,             0.00022023
                     64,                0.62548,                0.35453,                0.82397,                0.99252,                 0.9763,                0.99118,                0.85456,                0.59755,                 0.3133,                0.79069,             0.00021473,             0.00021473,             0.00021473
                     65,                0.62117,                0.35255,                0.82422,                0.98919,                0.97793,                0.98975,                0.85747,                0.59702,                 0.3105,                0.79397,             0.00020922,             0.00020922,             0.00020922
                     66,                0.62374,                0.35298,                0.82259,                0.98794,                0.97935,                0.99044,                0.85474,                0.60561,                0.31728,                0.79388,             0.00020372,             0.00020372,             0.00020372
                     67,                0.62062,                0.35182,                0.82092,                0.98766,                0.97844,                0.99004,                0.85629,                0.59926,                0.30833,                0.79353,             0.00019821,             0.00019821,             0.00019821
                     68,                0.61682,                0.34963,                0.82357,                 0.9886,                 0.9721,                0.98771,                0.85411,                0.60115,                0.31595,                0.79388,             0.00019271,             0.00019271,             0.00019271
                     69,                 0.6172,                0.35022,                0.82478,                0.99247,                0.97581,                0.99018,                0.85739,                0.59578,                0.31047,                0.79193,             0.00018721,             0.00018721,             0.00018721
                     70,                0.62415,                0.35064,                0.82116,                 0.9897,                0.97605,                0.99029,                0.85694,                0.59451,                0.30728,                0.79213,              0.0001817,              0.0001817,              0.0001817
                     71,                0.61159,                0.34471,                0.82143,                0.98647,                0.97961,                0.99011,                0.85595,                0.59717,                0.30575,                0.79167,              0.0001762,              0.0001762,              0.0001762
                     72,                0.61951,                0.34852,                0.81916,                0.99203,                 0.9788,                0.99105,                0.85909,                0.59162,                0.30897,                0.79065,             0.00017069,             0.00017069,             0.00017069
                     73,                0.60858,                0.34105,                0.81951,                 0.9942,                0.97095,                0.98922,                0.85765,                0.59861,                0.30568,                0.79005,             0.00016519,             0.00016519,             0.00016519
                     74,                0.60891,                 0.3429,                0.81743,                0.99265,                 0.9804,                0.99151,                0.86105,                  0.591,                0.30367,                 0.7906,             0.00015968,             0.00015968,             0.00015968
                     75,                0.60287,                0.34027,                0.82122,                0.99244,                0.97516,                0.99017,                0.85791,                0.59832,                0.30319,                0.79274,             0.00015418,             0.00015418,             0.00015418
                     76,                0.61114,                0.34345,                 0.8194,                0.99103,                0.98052,                0.99156,                0.85874,                0.59719,                0.30634,                0.79045,             0.00014867,             0.00014867,             0.00014867
                     77,                0.60902,                0.34312,                  0.821,                0.99055,                0.97735,                0.98996,                0.85679,                0.59269,                0.30405,                0.79013,             0.00014317,             0.00014317,             0.00014317
                     78,                0.60219,                0.33848,                0.81749,                0.99152,                0.97366,                0.98943,                0.85359,                0.60784,                0.30726,                0.79235,             0.00013767,             0.00013767,             0.00013767
                     79,                0.60274,                0.33786,                0.81875,                0.98955,                0.97519,                 0.9894,                0.85649,                0.59331,                0.30332,                0.79113,             0.00013216,             0.00013216,             0.00013216
                     80,                0.59361,                 0.3337,                0.81715,                0.98847,                0.97736,                0.99016,                0.85577,                0.59891,                 0.3048,                0.79151,             0.00012666,             0.00012666,             0.00012666
                     81,                0.60036,                0.33492,                0.82099,                0.99092,                 0.9807,                0.99158,                0.86159,                0.59114,                0.29999,                0.79176,             0.00012115,             0.00012115,             0.00012115
                     82,                0.59822,                0.33415,                0.81675,                0.98771,                0.97779,                0.99061,                0.85677,                0.59946,                0.30265,                0.79166,             0.00011565,             0.00011565,             0.00011565
                     83,                0.59748,                0.33336,                0.81667,                0.98738,                0.98067,                0.99079,                0.86117,                  0.588,                0.30033,                0.79031,             0.00011014,             0.00011014,             0.00011014
                     84,                0.59419,                0.33283,                0.81825,                0.98991,                0.97683,                0.99055,                0.85955,                0.59504,                0.30177,                0.79266,             0.00010464,             0.00010464,             0.00010464
                     85,                0.59652,                0.33158,                0.81945,                 0.9918,                0.97544,                0.99024,                0.85867,                0.59871,                 0.3018,                0.79095,             9.9135e-05,             9.9135e-05,             9.9135e-05
                     86,                0.59489,                0.32824,                0.81747,                0.98921,                0.98136,                0.99124,                0.85897,                0.60309,                0.29818,                0.79336,              9.363e-05,              9.363e-05,              9.363e-05
                     87,                0.58742,                0.32906,                0.81586,                0.98949,                0.97899,                0.99099,                 0.8576,                0.59631,                0.29778,                0.79326,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     88,                0.58847,                0.32688,                0.81586,                0.99163,                0.97865,                0.99115,                 0.8605,                0.58932,                0.29508,                0.79037,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     89,                0.59146,                0.32602,                0.81725,                0.98904,                0.97511,                0.98932,                0.85585,                0.59357,                0.29685,                0.78911,             7.7117e-05,             7.7117e-05,             7.7117e-05
                     90,                0.59494,                0.32873,                0.81676,                0.98809,                0.97963,                0.99051,                0.86067,                0.58735,                0.29211,                0.78918,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     91,                0.58833,                0.30767,                0.79213,                0.99056,                0.98033,                0.99129,                0.86616,                0.56887,                0.29542,                0.78504,             6.6108e-05,             6.6108e-05,             6.6108e-05
